album_id,album_popularity
0MVMsDS0kofp6A8cbJ5kSH,63
5BoDRK0I6o852G0SCspJaW,38
6i1wCCG67qBjxBNEDakTKa,31
3Fad8fFZ3tql0w9vBn8tTa,36
0bUTHlWbkSQysoM3VsWldT,76
6iMCoa8WkNpHSnRdDuMWlA,25
4wtZQMNTC1O79kDxMBsEan,64
34iY3hgyKCn1EJe6YVNFro,48
6t4BECovfkgGTrtbqmTlZf,50
2miVfa78vOd0o8Vbsgd7g3,52
0do3UV5axUHkROOTkcxr1J,52
2F9oEf5ZfGhYmCvRRnj8ca,16
1xmbcg2PGexcqqxYL3evR1,18
3ofZeSWPHZOE5WC2tNZDez,65
1bZe6bclEpMPDiCWOgpxKk,31
6GmFnWIbTYzAkxcN6Uk5Z1,23
6WUCVFRnXKyw54Zxiii7CZ,25
3e38PrPtIRDGbtbpc6jHrM,40
0TeXdrfFO67UgPpj1mMUAM,40
1JYyYFJSYrXMHLe7Dz1B3W,45
1IKqXGsNprSYlLmcRNOC8X,22
6bok6L2P5SQcpyiSDlzm1K,14
2SUgDf5a0P3u98kdkEBF3R,46
2KWjneqCyMbvEvp7QayR2l,40
1QEyTusbAcW5xMGGvWQkyC,35
02TMQZnfoemtwNM0pojOWn,47
0mzfKEd3lpMnI9Y3I0Os5m,35
57EkTny9UjqpLhFzMO4Hdb,60
2OeKJLLD5jcYMgJAExURqS,51
6wIkkwi1ZFrtXD9z5hON25,36
7s7LLhQVB99Aa1FaiBviDy,9
6AmmrlB9qABCgBdr8SCLZt,48
3FnZTIThL7sm42d5t7pZ1C,37
4i2Cb9v7g9ieShCgf1gakk,62
3yp02Eweqr7EHsg7CDAxGt,39
7vQRJ5q9b0c4gKrsh9yIhE,54
0rKp7KsPDhyl7saBEKGxE4,14
3hJezmiYPXSjbYEsJ0Xu30,41
3WxC9B4azmE7Y4RpwPx39b,27
0i9mOB6mPGqwVvtJEXiwPG,73
16AQyjz1z9rOsTm6iVrBUR,43
5zJ5Hz4a5OACoowuL3x86m,36
78iX7tMceN0FsnmabAtlOC,75
5gHsDs3ofg8qejWBcIGtJv,28
6haDxdERWK3rdVCGc2jr8E,57
6YN8jfCZLngnYeAoaWy4RC,55
6u9JszNMhfmzpwwUr7DHy5,38
4ptQcNe2xQj1RijcuPZpKK,22
62QkcgUQrHs24ruQK0eOI0,24
0G5S58t07MId5oxZpwvp3n,12
75WREsbuQHGUUiW7sIddLm,19
7bNQHQlpkC5uqouwSsQ5HG,19
6YTxgb9rMiCvShgFH3gRHG,19
2uKITXprtT9Wm9EUHIvbL4,22
7cg86ZoPbQjK7wVv3P7vEk,30
0YUmazidBacqOJTdUD7QnZ,35
2FKcfRXY5LYv0pALiLRh3g,37
1oiMfhS7X0MJSjowR49VPK,25
5UNPHRM6OIx2ePeHbP3MOi,17
5jWraquGLoS4pFefyUytmx,35
3dGtLPRCKbRmaHQS2YmdMx,26
6AprjNjK87JcZTyQWHXsSL,18
195q5U3eDO9z9GzsY2xaZE,10
7tZo2dx2IQc8FSKuGYhfJQ,29
2sH6A5CeThHXMZ8ZX6iROz,33
6TRvxALhGHTGM1AjCd61SU,32
0unp9WDXBl9E88Ud5zLw9z,25
6s7TtMHRcoy8D0ipc0wmjE,36
4M5IhzDex16tGtC9u5EZ9g,36
5LOLNALdP8O97CMeGdqOOM,48
5FSETqzUj1EAlIVvPYmv5r,34
5iWyIv8QHoD5P2vIUOf1j3,0
07w0rG5TETcyihsEIZR3qG,87
5PrSA0YTH0wJfXAKD9iwHd,30
03P3mYMwAnR2QjEPrESGbc,27
50WllaBP6r9DWbXDXUxdZA,20
5GuWww4OaildzkmTTlfMN3,54
49ssk5poFZAKoOJcj7PpsD,40
42ZcLRLCaoyGDkgrwf6OmV,17
7B4EGze9lOlYOOVT1fPZL8,10
4fUEhC3uuiTZ7UmhCSdM6p,14
72c0drLnTHGgihMXP0TXU5,28
1NR1qk73skJHCcxkXUTRCh,42
684UmlPbVItreGNmfh8Beg,42
5LASDBDtLLEt3QqVtgOoaM,61
4x1gp0YZRosiMcM0f1WGls,35
1wTqD7FSQ8XgKPy8xBUaEV,45
5vVrfTlAZqwpdCs52MjdZH,50
3KJxMjUnBZu3jLeQTIe6aQ,54
6QdvsNKwxtqxsYmmTlfWxE,30
6kV0NSYFjIMVgkhWRDI0bS,69
7IzNAyOsxeWhKPyNNz1urS,49
4sLtOBOzn4s3GDUv3c5oJD,74
3kh6B7Mxp9Od8QWDLsq8Ap,41
4P4KWs6xp9LBaKInkE8me3,44
7GlMEHJyohBhILSQYQIFgI,0
1qVjmAeHdqEeB2DuyvbTYz,0
5CB6pVh3JNBHQ4I6zQuYXv,33
7FvnTARvgjUyWnUT0flUN7,48
2QlIw88KfFlC3P0nLcWSKs,46
4Wq9dC08uEtSuGc8mFwC3r,50
5gPGMmplcUQMyT7I2FGvgI,0
20Xt1wX0TmekDqvzD0JSVY,42
1BQVdofe7ROnSoaiC9418p,47
34AtsFexhxnKPVJFtLIN1I,41
5WQJ8sVhjbhhQ0ReiilyO2,26
34LxHI9x14qXUOS8AWRrYD,54
7bopw2yiGMnUzXUH1ayvTe,9
