danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.518,0.376,9,-18.248,0,0.0431,0.933,0.86,0.0976,0.744,158.089,audio_features,4qYHnP5AmKzXbJhciPV8si,spotify:track:4qYHnP5AmKzXbJhciPV8si,https://api.spotify.com/v1/tracks/4qYHnP5AmKzXbJhciPV8si,https://api.spotify.com/v1/audio-analysis/4qYHnP5AmKzXbJhciPV8si,233560,4
0.514,0.624,0,-9.287,0,0.0842,0.513,0.00517,0.307,0.755,166.726,audio_features,3VgrSJEKBRT3xmwzpaxxEF,spotify:track:3VgrSJEKBRT3xmwzpaxxEF,https://api.spotify.com/v1/tracks/3VgrSJEKBRT3xmwzpaxxEF,https://api.spotify.com/v1/audio-analysis/3VgrSJEKBRT3xmwzpaxxEF,163053,4
0.727,0.314,7,-12.519,0,0.0282,0.0224,0.00234,0.177,0.794,98.092,audio_features,62i5IYsfk28UiViWTeEw2x,spotify:track:62i5IYsfk28UiViWTeEw2x,https://api.spotify.com/v1/tracks/62i5IYsfk28UiViWTeEw2x,https://api.spotify.com/v1/audio-analysis/62i5IYsfk28UiViWTeEw2x,165040,4
0.391,0.777,0,-8.936,1,0.0664,0.0324,0.00376,0.193,0.505,90.471,audio_features,0Affp5QQ5KTDRK9RuiNYvI,spotify:track:0Affp5QQ5KTDRK9RuiNYvI,https://api.spotify.com/v1/tracks/0Affp5QQ5KTDRK9RuiNYvI,https://api.spotify.com/v1/audio-analysis/0Affp5QQ5KTDRK9RuiNYvI,191338,4
0.575,0.357,2,-8.386,0,0.0464,0.438,0.000446,0.077,0.534,157.444,audio_features,0ryoOkpaDeSQRoYQGGJAxn,spotify:track:0ryoOkpaDeSQRoYQGGJAxn,https://api.spotify.com/v1/tracks/0ryoOkpaDeSQRoYQGGJAxn,https://api.spotify.com/v1/audio-analysis/0ryoOkpaDeSQRoYQGGJAxn,161400,4
0.645,0.262,0,-11.427,1,0.0387,0.991,1.12e-06,0.155,0.665,163.036,audio_features,5qhjl6GzrmwPYpJJFh2SRz,spotify:track:5qhjl6GzrmwPYpJJFh2SRz,https://api.spotify.com/v1/tracks/5qhjl6GzrmwPYpJJFh2SRz,https://api.spotify.com/v1/audio-analysis/5qhjl6GzrmwPYpJJFh2SRz,198067,4
0.434,0.815,7,-5.494,1,0.0476,0.0116,1.19e-05,0.172,0.51,118.991,audio_features,0zZVIvxjSxYNtWSHsWiqdQ,spotify:track:0zZVIvxjSxYNtWSHsWiqdQ,https://api.spotify.com/v1/tracks/0zZVIvxjSxYNtWSHsWiqdQ,https://api.spotify.com/v1/audio-analysis/0zZVIvxjSxYNtWSHsWiqdQ,156123,4
0.61,0.772,8,-7.621,1,0.0331,0.335,0.142,0.393,0.717,160.033,audio_features,6HlWKkzNE1WP67OGqtGeBW,spotify:track:6HlWKkzNE1WP67OGqtGeBW,https://api.spotify.com/v1/tracks/6HlWKkzNE1WP67OGqtGeBW,https://api.spotify.com/v1/audio-analysis/6HlWKkzNE1WP67OGqtGeBW,240680,4
0.714,0.585,11,-9.946,0,0.0417,0.116,0.000419,0.0447,0.923,89.955,audio_features,1EQBXYxcRsUnymzLN8nxwT,spotify:track:1EQBXYxcRsUnymzLN8nxwT,https://api.spotify.com/v1/tracks/1EQBXYxcRsUnymzLN8nxwT,https://api.spotify.com/v1/audio-analysis/1EQBXYxcRsUnymzLN8nxwT,247000,4
0.78,0.821,2,-9.867,0,0.0412,0.509,0.11,0.107,0.369,111.009,audio_features,5TZezA8h8xHenNRacrDx7o,spotify:track:5TZezA8h8xHenNRacrDx7o,https://api.spotify.com/v1/tracks/5TZezA8h8xHenNRacrDx7o,https://api.spotify.com/v1/audio-analysis/5TZezA8h8xHenNRacrDx7o,228401,4
