artist_id,artist_popularity,artist_genres
5xLSa7l4IV1gsQfhAMvl0U,58,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul', 'soul blues', 'traditional blues']"
6Tyzp9KzpiZ04DABQoedps,56,"['art pop', 'chillwave', 'downtempo', 'electronica', 'gothenburg indie', 'indie soul', 'indietronica', 'neo-synthpop', 'swedish electropop', 'swedish synthpop', 'trip hop']"
0pvLXdsgWnpJClomaQ41JQ,22,['gnawa']
6pFsfSCmKyG28Cyj5QMIFY,24,"['deep disco', 'post-disco', 'post-disco soul']"
31pgjXYjK95dU2UrhK6C0L,14,[]
2cGwlqi3k18jFpUyTrsR84,63,"['britpop', 'permanent wave', 'rock', 'shoegaze']"
7GlBOeep6PqTfFi59PTUUN,78,"['indie pop', 'springfield mo indie']"
0hcjDfqTgMJdAY7e83gSxs,37,"['bleep techno', 'classic house', 'hardcore techno', 'hip house', 'piano house']"
3wXD5Uzx4J35Wlz36lwruW,23,"['irish contemporary classical', 'irish experimental']"
01Z8Z9K54zewyP04ZfGLSv,46,"['classic soul', 'louisiana blues', 'new orleans blues', 'new orleans soul', 'southern soul']"
3ey9lZapAq5kQ9A5d65LBO,35,[]
5V0lyYjjzDpHAJGmS7ZSmB,17,[]
26fLh0Y5WBhJ0sUeG5GnBq,25,[]
7MMjkDVrjxW9iObeZeeejh,35,['lo-fi indie']
25KNo5GDS6ZpLkjasaecA3,58,"['downtempo', 'electronica', 'livetronica', 'trip hop']"
6FXMGgJwohJLUSr5nVlf9X,61,"['downtempo', 'electronica', 'trip hop']"
3C8RpaI3Go0yFF9whvKoED,52,"['alternative dance', 'australian alternative rock', 'australian dance', 'collage pop', 'electronica', 'indietronica', 'new rave', 'psychedelic hip hop']"
1P6U1dCeHxPui5pIrGmndZ,59,"['ambient pop', 'downtempo', 'electronica', 'indietronica', 'trip hop']"
0ELXBCSsRl2m92MgnOsA69,35,"['classic house', 'diva house', 'piano house']"
3X458ddYA2YcVWuVIGGOYe,60,"['contemporary r&b', 'dance pop', 'r&b', 'urban contemporary']"
2gaXk926O69Od01e5CSFdH,37,['ye ye']
